Date,MSFT,NVDA,GOOGL,AMZN,META,TSM,ASML,ADBE,IBM,ANET
2018-04-05,85.9930419921875,5.478081226348877,51.44550704956055,72.5875015258789,158.733642578125,36.22787857055664,185.2703094482422,223.5399932861328,107.58638000488281,16.421249389648438
2018-04-06,83.99166107177734,5.301647186279297,50.31510543823242,70.2614974975586,156.601806640625,35.4752197265625,181.49366760253906,218.61000061035156,105.1696548461914,16.170000076293945
2018-04-09,84.49435424804688,5.330352306365967,50.820274353027344,70.30400085449219,157.32901000976562,36.018802642822266,185.13043212890625,219.1699981689453,106.6504135131836,16.21875
2018-04-10,86.4584732055664,5.639665603637695,51.63780975341797,71.81099700927734,164.4119415283203,36.445316314697266,191.6765899658203,224.52999877929688,108.53632354736328,16.69937515258789
2018-04-11,85.50898742675781,5.59834098815918,51.067874908447266,71.35250091552734,165.6870880126953,36.27806091308594,191.6765899658203,223.6300048828125,108.515380859375,16.6612491607666
2018-04-12,87.1100845336914,5.805210113525391,51.677162170410156,72.42500305175781,163.2463836669922,36.671112060546875,192.32003784179688,226.9600067138672,110.408203125,16.805625915527344
2018-04-13,86.64464569091797,5.72850227355957,51.614891052246094,71.53949737548828,163.89393615722656,35.66756820678711,191.7698516845703,224.05999755859375,109.45830535888672,15.262499809265137
2018-04-16,87.6592788696289,5.728255748748779,52.1160774230957,72.07499694824219,164.2027587890625,35.85154724121094,192.7489776611328,226.52000427246094,110.2824935913086,14.96500015258789
2018-04-17,89.42791748046875,5.8779616355896,53.7730712890625,75.19149780273438,168.0181884765625,35.38322830200195,198.343994140625,231.16000366210938,112.39191436767578,16.049999237060547
2018-04-18,89.77234649658203,5.8490095138549805,53.57528305053711,76.39199829101562,165.7269287109375,35.05707931518555,192.39463806152344,231.10000610351562,103.92636108398438,16.15625
2018-04-19,89.46517944335938,5.667626857757568,54.2757453918457,77.84549713134766,167.4603271484375,33.0583610534668,181.93191528320312,227.6199951171875,103.16500854492188,16.02312469482422
2018-04-20,88.431884765625,5.659461975097656,53.67143630981445,76.37449645996094,165.64723205566406,32.57331848144531,179.99234008789062,225.24000549316406,101.20928955078125,16.290624618530273
